clip,src_take,src_start_s,speaker,room,dist,label,peak,rms,review
sp01_noise_1m_take_02_c13.wav,sp01_noise_1m/take_02.wav,26.59,sp01,noise,1m,silence,23206,7230,human
sp01_noise_1m_take_02_c14.wav,sp01_noise_1m/take_02.wav,28.03,sp01,noise,1m,wake,32768,14585,human
sp01_noise_1m_take_02_sil1.wav,sp01_noise_1m/take_02.wav,15.5,sp01,noise,1m,silence,13367,4574.4,auto-sil
sp01_noise_1m_take_02_sil2.wav,sp01_noise_1m/take_02.wav,15.0,sp01,noise,1m,silence,15704,5230.5,auto-sil
sp01_noise_1m_take_02_sil3.wav,sp01_noise_1m/take_02.wav,9.5,sp01,noise,1m,silence,17695,5643.9,auto-sil
sp01_noise_1m_take_03_c01.wav,sp01_noise_1m/take_03.wav,0.08,sp01,noise,1m,silence,27580,11624,human
sp01_noise_1m_take_03_c02.wav,sp01_noise_1m/take_03.wav,1.65,sp01,noise,1m,wake,32767,16248,human
sp01_noise_1m_take_03_c03.wav,sp01_noise_1m/take_03.wav,2.69,sp01,noise,1m,silence,26601,8484,human
sp01_noise_1m_take_03_c04.wav,sp01_noise_1m/take_03.wav,4.11,sp01,noise,1m,wake,32767,10408,human
sp01_noise_1m_take_03_c05.wav,sp01_noise_1m/take_03.wav,6.78,sp01,noise,1m,wake,25253,7565,human
sp01_noise_1m_take_03_c06.wav,sp01_noise_1m/take_03.wav,9.04,sp01,noise,1m,wake,32768,13710,human
sp01_noise_1m_take_03_c07.wav,sp01_noise_1m/take_03.wav,10.97,sp01,noise,1m,wake,32768,19192,human
sp01_noise_1m_take_03_c08.wav,sp01_noise_1m/take_03.wav,13.77,sp01,noise,1m,wake,32768,19868,human
sp01_noise_1m_take_03_c09.wav,sp01_noise_1m/take_03.wav,15.54,sp01,noise,1m,silence,32768,16376,human
sp01_noise_1m_take_03_c10.wav,sp01_noise_1m/take_03.wav,16.48,sp01,noise,1m,wake,28793,9567,human
sp01_noise_1m_take_03_c11.wav,sp01_noise_1m/take_03.wav,18.63,sp01,noise,1m,wake,31473,10999,human
sp01_noise_1m_take_03_c12.wav,sp01_noise_1m/take_03.wav,20.87,sp01,noise,1m,wake,21934,8325,human
sp01_noise_1m_take_03_c13.wav,sp01_noise_1m/take_03.wav,22.25,sp01,noise,1m,silence,32768,19105,human
sp01_noise_1m_take_03_c14.wav,sp01_noise_1m/take_03.wav,23.13,sp01,noise,1m,wake,32768,14314,human
sp01_noise_1m_take_03_c15.wav,sp01_noise_1m/take_03.wav,26.94,sp01,noise,1m,silence,27999,10211,human
sp01_noise_1m_take_03_c16.wav,sp01_noise_1m/take_03.wav,27.98,sp01,noise,1m,wake,32767,13187,human
sp01_noise_1m_take_03_sil1.wav,sp01_noise_1m/take_03.wav,12.5,sp01,noise,1m,silence,16613,5326.4,auto-sil-loose
sp01_noise_1m_take_03_sil2.wav,sp01_noise_1m/take_03.wav,25.5,sp01,noise,1m,silence,28523,7958.4,auto-sil-loose
sp01_noise_1m_take_03_sil3.wav,sp01_noise_1m/take_03.wav,25.0,sp01,noise,1m,silence,32767,9537.3,auto-sil
sp01_quiet_1m_take_01_c01.wav,sp01_quite_1m/take_01.wav,0.67,sp01,quiet,1m,silence,24993,10956,human
sp01_quiet_1m_take_01_c02.wav,sp01_quite_1m/take_01.wav,3.77,sp01,quiet,1m,wake,22716,7190,human
sp01_quiet_1m_take_01_c03.wav,sp01_quite_1m/take_01.wav,6.0,sp01,quiet,1m,wake,19795,5977,human
sp01_quiet_1m_take_01_c04.wav,sp01_quite_1m/take_01.wav,9.25,sp01,quiet,1m,silence,18674,7783,human
sp01_quiet_1m_take_01_c05.wav,sp01_quite_1m/take_01.wav,10.38,sp01,quiet,1m,wake,31759,11144,human
sp01_quiet_1m_take_01_c06.wav,sp01_quite_1m/take_01.wav,11.48,sp01,quiet,1m,silence,17067,5330,human
sp01_quiet_1m_take_01_c07.wav,sp01_quite_1m/take_01.wav,13.22,sp01,quiet,1m,wake,23833,7401,human
sp01_quiet_1m_take_01_c08.wav,sp01_quite_1m/take_01.wav,15.77,sp01,quiet,1m,wake,20937,6146,human-merge
sp01_quiet_1m_take_01_c09.wav,sp01_quite_1m/take_01.wav,18.56,sp01,quiet,1m,wake,21541,7487,human
sp01_quiet_1m_take_01_c10.wav,sp01_quite_1m/take_01.wav,21.49,sp01,quiet,1m,wake,15024,4987,human
sp01_quiet_1m_take_01_c11.wav,sp01_quite_1m/take_01.wav,22.98,sp01,quiet,1m,silence,10018,3488,human
sp01_quiet_1m_take_01_c12.wav,sp01_quite_1m/take_01.wav,24.53,sp01,quiet,1m,wake,15822,4548,human
sp01_quiet_1m_take_01_c13.wav,sp01_quite_1m/take_01.wav,27.5,sp01,quiet,1m,wake,15361,4574,human
sp01_quiet_1m_take_01_sil1.wav,sp01_quite_1m/take_01.wav,26.0,sp01,quiet,1m,silence,7647,2657.0,auto-sil-loose
sp01_quiet_1m_take_01_sil2.wav,sp01_quite_1m/take_01.wav,29.0,sp01,quiet,1m,silence,8402,2839.0,auto-sil
sp01_quiet_1m_take_01_sil3.wav,sp01_quite_1m/take_01.wav,2.5,sp01,quiet,1m,silence,12071,3794.9,auto-sil-loose
sp01_quiet_1m_take_02_c01.wav,sp01_quite_1m/take_02.wav,0.88,sp01,quiet,1m,silence,15625,5143,human
sp01_quiet_1m_take_02_c02.wav,sp01_quite_1m/take_02.wav,2.68,sp01,quiet,1m,wake,16930,4885,human
sp01_quiet_1m_take_02_c03.wav,sp01_quite_1m/take_02.wav,4.24,sp01,quiet,1m,silence,15839,5223,human
sp01_quiet_1m_take_02_c04.wav,sp01_quite_1m/take_02.wav,5.51,sp01,quiet,1m,wake,22807,5997,human
sp01_quiet_1m_take_02_c05.wav,sp01_quite_1m/take_02.wav,7.75,sp01,quiet,1m,silence,13370,4674,human
sp01_quiet_1m_take_02_c06.wav,sp01_quite_1m/take_02.wav,8.81,sp01,quiet,1m,wake,18540,6043,human
sp01_quiet_1m_take_02_c07.wav,sp01_quite_1m/take_02.wav,10.37,sp01,quiet,1m,silence,17024,5319,human
sp01_quiet_1m_take_02_c08.wav,sp01_quite_1m/take_02.wav,12.36,sp01,quiet,1m,wake,19797,6228,human
sp01_quiet_1m_take_02_c09.wav,sp01_quite_1m/take_02.wav,13.36,sp01,quiet,1m,silence,13406,5163,human
sp01_quiet_1m_take_02_c10.wav,sp01_quite_1m/take_02.wav,14.69,sp01,quiet,1m,wake,12560,4013,human
sp01_quiet_1m_take_02_c11.wav,sp01_quite_1m/take_02.wav,17.53,sp01,quiet,1m,wake,12746,3643,human
sp01_quiet_1m_take_02_c12.wav,sp01_quite_1m/take_02.wav,20.26,sp01,quiet,1m,wake,13438,4168,human
sp01_quiet_1m_take_02_c13.wav,sp01_quite_1m/take_02.wav,22.36,sp01,quiet,1m,silence,10839,3870,human
sp01_quiet_1m_take_02_c14.wav,sp01_quite_1m/take_02.wav,23.21,sp01,quiet,1m,wake,15014,4229,human
sp01_quiet_1m_take_02_c15.wav,sp01_quite_1m/take_02.wav,25.86,sp01,quiet,1m,wake,18674,5322,human
sp01_quiet_1m_take_02_c16.wav,sp01_quite_1m/take_02.wav,28.6,sp01,quiet,1m,wake,15435,4924,human
sp01_quiet_1m_take_02_sil1.wav,sp01_quite_1m/take_02.wav,16.0,sp01,quiet,1m,silence,7830,2416.6,auto-sil-loose
sp01_quiet_1m_take_02_sil2.wav,sp01_quite_1m/take_02.wav,19.0,sp01,quiet,1m,silence,6556,2175.9,auto-sil-loose
sp01_quiet_1m_take_02_sil3.wav,sp01_quite_1m/take_02.wav,27.0,sp01,quiet,1m,silence,11903,2920.4,auto-sil-loose
sp01_quiet_1m_take_03_c01.wav,sp01_quite_1m/take_03.wav,0,sp01,quiet,1m,silence,10720,4879,human
sp01_quiet_1m_take_03_c02.wav,sp01_quite_1m/take_03.wav,2.16,sp01,quiet,1m,wake,17758,5506,human
sp01_quiet_1m_take_03_c03.wav,sp01_quite_1m/take_03.wav,4.4,sp01,quiet,1m,wake,20272,8776,human
sp01_quiet_1m_take_03_c04.wav,sp01_quite_1m/take_03.wav,8.38,sp01,quiet,1m,silence,11101,4129,human-merge
sp01_quiet_1m_take_03_c05.wav,sp01_quite_1m/take_03.wav,12.1,sp01,quiet,1m,silence,17321,7240,human
sp01_quiet_1m_take_03_c06.wav,sp01_quite_1m/take_03.wav,13.94,sp01,quiet,1m,silence,11885,5209,human
sp01_quiet_1m_take_03_c07.wav,sp01_quite_1m/take_03.wav,15.84,sp01,quiet,1m,wake,20493,6042,human
sp01_quiet_1m_take_03_c08.wav,sp01_quite_1m/take_03.wav,17.33,sp01,quiet,1m,silence,15874,6555,human
sp01_quiet_1m_take_03_c09.wav,sp01_quite_1m/take_03.wav,18.6,sp01,quiet,1m,wake,19103,5686,human
sp01_quiet_1m_take_03_c10.wav,sp01_quite_1m/take_03.wav,19.86,sp01,quiet,1m,silence,13413,4676,human
sp01_quiet_1m_take_03_c11.wav,sp01_quite_1m/take_03.wav,22.14,sp01,quiet,1m,silence,10978,4124,human
sp01_quiet_1m_take_03_c12.wav,sp01_quite_1m/take_03.wav,23.75,sp01,quiet,1m,wake,16998,4765,human
sp01_quiet_1m_take_03_c13.wav,sp01_quite_1m/take_03.wav,26.1,sp01,quiet,1m,wake,19954,5557,human
sp01_quiet_1m_take_03_c14.wav,sp01_quite_1m/take_03.wav,29.0,sp01,quiet,1m,wake,14416,4355,human
sp01_quiet_1m_take_03_sil1.wav,sp01_quite_1m/take_03.wav,10.5,sp01,quiet,1m,silence,16492,4947.4,auto-sil
sp01_quiet_1m_take_03_sil2.wav,sp01_quite_1m/take_03.wav,10.0,sp01,quiet,1m,silence,16993,5084.4,auto-sil
sp01_quiet_1m_take_03_sil3.wav,sp01_quite_1m/take_03.wav,6.0,sp01,quiet,1m,silence,10446,4288.5,auto-sil
sp01_quiet_30cm_take_01_c01.wav,sp01_quite_30cm/take_01.wav,0.41,sp01,quiet,30cm,silence,22445,9799,human
sp01_quiet_30cm_take_01_c02.wav,sp01_quite_30cm/take_01.wav,3.29,sp01,quiet,30cm,wake,19205,5177,human
sp01_quiet_30cm_take_01_c03.wav,sp01_quite_30cm/take_01.wav,4.92,sp01,quiet,30cm,wake,17006,5262,human
sp01_quiet_30cm_take_01_c04.wav,sp01_quite_30cm/take_01.wav,6.12,sp01,quiet,30cm,silence,18804,8558,human
sp01_quiet_30cm_take_01_c05.wav,sp01_quite_30cm/take_01.wav,8.05,sp01,quiet,30cm,silence,26795,11912,human
sp01_quiet_30cm_take_01_c06.wav,sp01_quite_30cm/take_01.wav,10.76,sp01,quiet,30cm,silence,32768,21915,human
sp01_quiet_30cm_take_01_c07.wav,sp01_quite_30cm/take_01.wav,12.71,sp01,quiet,30cm,silence,32768,24512,human
sp01_quiet_30cm_take_01_c08.wav,sp01_quite_30cm/take_01.wav,14.17,sp01,quiet,30cm,wake,32768,15228,human
sp01_quiet_30cm_take_01_c09.wav,sp01_quite_30cm/take_01.wav,17.62,sp01,quiet,30cm,silence,32768,21651,human
sp01_quiet_30cm_take_01_c10.wav,sp01_quite_30cm/take_01.wav,19.11,sp01,quiet,30cm,wake,13039,5950,human
sp01_quiet_30cm_take_01_c11.wav,sp01_quite_30cm/take_01.wav,21.27,sp01,quiet,30cm,wake,29453,13387,human
sp01_quiet_30cm_take_01_c12.wav,sp01_quite_30cm/take_01.wav,22.82,sp01,quiet,30cm,silence,32768,23863,human
sp01_quiet_30cm_take_01_c13.wav,sp01_quite_30cm/take_01.wav,25.02,sp01,quiet,30cm,silence,32768,21100,human
sp01_quiet_30cm_take_01_c14.wav,sp01_quite_30cm/take_01.wav,27.38,sp01,quiet,30cm,silence,32768,17769,human
sp01_quiet_30cm_take_01_c15.wav,sp01_quite_30cm/take_01.wav,28.54,sp01,quiet,30cm,silence,32768,16500,human
sp01_quiet_30cm_take_01_sil1.wav,sp01_quite_30cm/take_01.wav,2.0,sp01,quiet,30cm,silence,16479,4163.5,auto-sil-loose
sp01_quiet_30cm_take_01_sil2.wav,sp01_quite_30cm/take_01.wav,16.5,sp01,quiet,30cm,silence,21637,6447.4,auto-sil-loose
sp01_quiet_30cm_take_01_sil3.wav,sp01_quite_30cm/take_01.wav,16.0,sp01,quiet,30cm,silence,21637,9229.8,auto-sil
sp01_quiet_30cm_take_02_c01.wav,sp01_quite_30cm/take_02.wav,0.96,sp01,quiet,30cm,silence,32768,15629,human
sp01_quiet_30cm_take_02_c02.wav,sp01_quite_30cm/take_02.wav,2.42,sp01,quiet,30cm,wake,32768,16934,human
sp01_quiet_30cm_take_02_c03.wav,sp01_quite_30cm/take_02.wav,5.56,sp01,quiet,30cm,silence,32768,12548,human
sp01_quiet_30cm_take_02_c04.wav,sp01_quite_30cm/take_02.wav,7.57,sp01,quiet,30cm,wake,29270,8043,human
sp01_quiet_30cm_take_02_c05.wav,sp01_quite_30cm/take_02.wav,8.86,sp01,quiet,30cm,silence,32768,21220,human
sp01_quiet_30cm_take_02_c06.wav,sp01_quite_30cm/take_02.wav,10.52,sp01,quiet,30cm,wake,29152,9392,human
sp01_quiet_30cm_take_02_c07.wav,sp01_quite_30cm/take_02.wav,12.0,sp01,quiet,30cm,silence,23604,8356,human
sp01_quiet_30cm_take_02_c08.wav,sp01_quite_30cm/take_02.wav,13.34,sp01,quiet,30cm,wake,21240,5867,human
sp01_quiet_30cm_take_02_c09.wav,sp01_quite_30cm/take_02.wav,15.74,sp01,quiet,30cm,wake,31919,13605,human
sp01_quiet_30cm_take_02_c10.wav,sp01_quite_30cm/take_02.wav,17.65,sp01,quiet,30cm,silence,17018,7633,human
sp01_quiet_30cm_take_02_c11.wav,sp01_quite_30cm/take_02.wav,19.94,sp01,quiet,30cm,silence,13840,5140,human
sp01_quiet_30cm_take_02_c12.wav,sp01_quite_30cm/take_02.wav,21.52,sp01,quiet,30cm,wake,24049,9213,human
sp01_quiet_30cm_take_02_c13.wav,sp01_quite_30cm/take_02.wav,23.99,sp01,quiet,30cm,wake,26802,6386,human
sp01_quiet_30cm_take_02_c14.wav,sp01_quite_30cm/take_02.wav,25.6,sp01,quiet,30cm,silence,27321,13618,human
sp01_quiet_30cm_take_02_c15.wav,sp01_quite_30cm/take_02.wav,27.58,sp01,quiet,30cm,silence,32768,22283,human
sp01_quiet_30cm_take_02_sil1.wav,sp01_quite_30cm/take_02.wav,4.0,sp01,quiet,30cm,silence,16354,4925.9,auto-sil
sp01_quiet_30cm_take_02_sil2.wav,sp01_quite_30cm/take_02.wav,14.5,sp01,quiet,30cm,silence,20259,6285.4,auto-sil-loose
sp01_quiet_30cm_take_02_sil3.wav,sp01_quite_30cm/take_02.wav,29.0,sp01,quiet,30cm,silence,32768,9289.3,auto-sil-loose
sp01_quiet_30cm_take_03_c01.wav,sp01_quite_30cm/take_03.wav,0,sp01,quiet,30cm,silence,21257,10406,human
sp01_quiet_30cm_take_03_c02.wav,sp01_quite_30cm/take_03.wav,2.09,sp01,quiet,30cm,wake,25721,7343,human
sp01_quiet_30cm_take_03_c03.wav,sp01_quite_30cm/take_03.wav,3.27,sp01,quiet,30cm,silence,32767,18173,human
sp01_quiet_30cm_take_03_c04.wav,sp01_quite_30cm/take_03.wav,5.83,sp01,quiet,30cm,wake,32768,13811,human
sp01_quiet_30cm_take_03_c05.wav,sp01_quite_30cm/take_03.wav,7.67,sp01,quiet,30cm,wake,22143,6282,human
sp01_quiet_30cm_take_03_c06.wav,sp01_quite_30cm/take_03.wav,9.57,sp01,quiet,30cm,wake,32177,8795,human
sp01_quiet_30cm_take_03_c07.wav,sp01_quite_30cm/take_03.wav,12.16,sp01,quiet,30cm,wake,30185,7227,human
sp01_quiet_30cm_take_03_c08.wav,sp01_quite_30cm/take_03.wav,14.67,sp01,quiet,30cm,wake,22611,6072,human
sp01_quiet_30cm_take_03_c09.wav,sp01_quite_30cm/take_03.wav,15.87,sp01,quiet,30cm,silence,22081,10483,human
sp01_quiet_30cm_take_03_c10.wav,sp01_quite_30cm/take_03.wav,18.06,sp01,quiet,30cm,silence,32768,22508,human
sp01_quiet_30cm_take_03_c11.wav,sp01_quite_30cm/take_03.wav,19.64,sp01,quiet,30cm,wake,24854,6418,human
sp01_quiet_30cm_take_03_c12.wav,sp01_quite_30cm/take_03.wav,20.97,sp01,quiet,30cm,silence,24176,12191,human
sp01_quiet_30cm_take_03_c13.wav,sp01_quite_30cm/take_03.wav,23.28,sp01,quiet,30cm,silence,23184,9215,human
sp01_quiet_30cm_take_03_c14.wav,sp01_quite_30cm/take_03.wav,25.1,sp01,quiet,30cm,wake,19630,4943,human
sp01_quiet_30cm_take_03_c15.wav,sp01_quite_30cm/take_03.wav,26.51,sp01,quiet,30cm,silence,8701,3500,human
sp01_quiet_30cm_take_03_c16.wav,sp01_quite_30cm/take_03.wav,27.67,sp01,quiet,30cm,wake,17593,5273,human
sp01_quiet_30cm_take_03_c17.wav,sp01_quite_30cm/take_03.wav,29.0,sp01,quiet,30cm,silence,32767,18160,human
sp01_quiet_30cm_take_03_sil1.wav,sp01_quite_30cm/take_03.wav,11.0,sp01,quiet,30cm,silence,11047,3931.2,auto-sil-loose
sp01_quiet_30cm_take_03_sil2.wav,sp01_quite_30cm/take_03.wav,13.5,sp01,quiet,30cm,silence,11341,3905.6,auto-sil-loose
sp01_quiet_30cm_take_03_sil3.wav,sp01_quite_30cm/take_03.wav,4.5,sp01,quiet,30cm,silence,32768,7865.9,auto-sil-loose
sp02_noise_1m_take_01_c01.wav,sp02_noise_1m/take_01.wav,0.31,sp02,noise,1m,silence,32242,13211,human
sp02_noise_1m_take_01_c02.wav,sp02_noise_1m/take_01.wav,1.73,sp02,noise,1m,wake,28789,10459,human
sp02_noise_1m_take_01_c03.wav,sp02_noise_1m/take_01.wav,4.35,sp02,noise,1m,wake,32767,14709,human
sp02_noise_1m_take_01_c04.wav,sp02_noise_1m/take_01.wav,5.44,sp02,noise,1m,silence,32768,14440,human
sp02_noise_1m_take_01_c05.wav,sp02_noise_1m/take_01.wav,7.54,sp02,noise,1m,wake,31269,10104,human
sp02_noise_1m_take_01_c06.wav,sp02_noise_1m/take_01.wav,9.38,sp02,noise,1m,silence,32768,18658,human
sp02_noise_1m_take_01_c07.wav,sp02_noise_1m/take_01.wav,10.58,sp02,noise,1m,wake,28096,10406,human
sp02_noise_1m_take_01_c08.wav,sp02_noise_1m/take_01.wav,14.1,sp02,noise,1m,wake,32768,15256,human
sp02_noise_1m_take_01_c09.wav,sp02_noise_1m/take_01.wav,14.02,sp02,noise,1m,wake,32768,15338,human
sp02_noise_1m_take_01_c10.wav,sp02_noise_1m/take_01.wav,16.76,sp02,noise,1m,silence,22624,8109,human
sp02_noise_1m_take_01_c11.wav,sp02_noise_1m/take_01.wav,18.08,sp02,noise,1m,wake,20372,8282,human
sp02_noise_1m_take_01_c12.wav,sp02_noise_1m/take_01.wav,19.46,sp02,noise,1m,silence,32767,12757,human
sp02_noise_1m_take_01_c13.wav,sp02_noise_1m/take_01.wav,22.39,sp02,noise,1m,silence,27821,12025,human
sp02_noise_1m_take_01_c14.wav,sp02_noise_1m/take_01.wav,24.61,sp02,noise,1m,wake,32767,11869,human
sp02_noise_1m_take_01_c15.wav,sp02_noise_1m/take_01.wav,25.62,sp02,noise,1m,silence,18443,6287,human
sp02_noise_1m_take_01_c16.wav,sp02_noise_1m/take_01.wav,28.11,sp02,noise,1m,wake,25045,8648,human
sp02_noise_1m_take_01_sil1.wav,sp02_noise_1m/take_01.wav,21.0,sp02,noise,1m,silence,15750,6452.4,auto-sil-loose
sp02_noise_1m_take_01_sil2.wav,sp02_noise_1m/take_01.wav,12.5,sp02,noise,1m,silence,18330,7268.8,auto-sil
sp02_noise_1m_take_01_sil3.wav,sp02_noise_1m/take_01.wav,12.0,sp02,noise,1m,silence,18330,8430.4,auto-sil-loose
sp02_noise_1m_take_02_c01.wav,sp02_noise_1m/take_02.wav,1.12,sp02,noise,1m,silence,32767,14457,human
sp02_noise_1m_take_02_c02.wav,sp02_noise_1m/take_02.wav,2.14,sp02,noise,1m,wake,32768,13356,human
sp02_noise_1m_take_02_c03.wav,sp02_noise_1m/take_02.wav,4.18,sp02,noise,1m,silence,23768,8534,human
sp02_noise_1m_take_02_c04.wav,sp02_noise_1m/take_02.wav,7.17,sp02,noise,1m,silence,20721,7715,human
sp02_noise_1m_take_02_c05.wav,sp02_noise_1m/take_02.wav,9.58,sp02,noise,1m,silence,32767,10516,human
sp02_noise_1m_take_02_c06.wav,sp02_noise_1m/take_02.wav,11.69,sp02,noise,1m,wake,27012,9605,human
sp02_noise_1m_take_02_c07.wav,sp02_noise_1m/take_02.wav,13.59,sp02,noise,1m,silence,32768,11126,human
sp02_noise_1m_take_02_c08.wav,sp02_noise_1m/take_02.wav,15.37,sp02,noise,1m,wake,32768,15581,human
sp02_noise_1m_take_02_c09.wav,sp02_noise_1m/take_02.wav,16.63,sp02,noise,1m,silence,32768,14812,human
sp02_noise_1m_take_02_c10.wav,sp02_noise_1m/take_02.wav,17.71,sp02,noise,1m,silence,21255,6450,human
sp02_noise_1m_take_02_c11.wav,sp02_noise_1m/take_02.wav,19.98,sp02,noise,1m,silence,32767,17983,human
sp02_noise_1m_take_02_c12.wav,sp02_noise_1m/take_02.wav,21.13,sp02,noise,1m,silence,17428,5567,human
sp02_noise_1m_take_02_c13.wav,sp02_noise_1m/take_02.wav,23.46,sp02,noise,1m,silence,27726,9028,human
sp02_noise_1m_take_02_c14.wav,sp02_noise_1m/take_02.wav,24.59,sp02,noise,1m,silence,24442,8544,human
sp02_noise_1m_take_02_c15.wav,sp02_noise_1m/take_02.wav,25.95,sp02,noise,1m,wake,32767,10526,human
sp02_noise_1m_take_02_c16.wav,sp02_noise_1m/take_02.wav,27.53,sp02,noise,1m,silence,25088,10612,human
sp02_noise_1m_take_03_c01.wav,sp02_noise_1m/take_03.wav,0.14,sp02,noise,1m,silence,16287,6632,human
sp02_noise_1m_take_03_c02.wav,sp02_noise_1m/take_03.wav,1.27,sp02,noise,1m,wake,32768,11833,human
sp02_noise_1m_take_03_c03.wav,sp02_noise_1m/take_03.wav,2.28,sp02,noise,1m,silence,32767,13130,human
sp02_noise_1m_take_03_c04.wav,sp02_noise_1m/take_03.wav,3.42,sp02,noise,1m,silence,27557,9827,human
sp02_noise_1m_take_03_c05.wav,sp02_noise_1m/take_03.wav,5.53,sp02,noise,1m,silence,18972,5781,human
sp02_noise_1m_take_03_c06.wav,sp02_noise_1m/take_03.wav,6.58,sp02,noise,1m,silence,16312,4718,human
sp02_noise_1m_take_03_c07.wav,sp02_noise_1m/take_03.wav,7.82,sp02,noise,1m,wake,24122,5851,human
sp02_noise_1m_take_03_c08.wav,sp02_noise_1m/take_03.wav,10.18,sp02,noise,1m,silence,25369,11825,human
sp02_noise_1m_take_03_c09.wav,sp02_noise_1m/take_03.wav,12.63,sp02,noise,1m,silence,30135,15553,human
sp02_noise_1m_take_03_c10.wav,sp02_noise_1m/take_03.wav,14.79,sp02,noise,1m,wake,32768,12946,human
sp02_noise_1m_take_03_c11.wav,sp02_noise_1m/take_03.wav,16.73,sp02,noise,1m,silence,25883,8898,human
sp02_noise_1m_take_03_c12.wav,sp02_noise_1m/take_03.wav,18.34,sp02,noise,1m,wake,32768,13820,human
sp02_noise_1m_take_03_c13.wav,sp02_noise_1m/take_03.wav,19.5,sp02,noise,1m,silence,19885,8061,human
sp02_noise_1m_take_03_c14.wav,sp02_noise_1m/take_03.wav,21.82,sp02,noise,1m,wake,22356,8304,human
